RA,Fase,Turma,Nome,Ano de Nascimento do Aluno,Idade do Aluno,Gênero,Ano de Ingresso na Passos Mágicos,Instituição de ensino,Pedra 2020,Pedra 2021,Pedra 2022,Índice de Desenvolvimento Educacional (INDE),Classificação Geral (Ranking Geral),Classificação na Fase (Ranking por Fase),Classificação na Turma (Ranking por Turma),Quantidade de Avaliações,Equipe Avaliadora 1,Recomendação da Equipe Avaliadora 1,Equipe Avaliadora 2,Recomendação da Equipe Avaliadora 2,Equipe Avaliadora 3,Recomendação da Equipe Avaliadora 3,Equipe Avaliadora 4,Recomendação da Equipe Avaliadora 4,Indicador de Autoavaliação,Indicador de Engajamento,Indicador Psicossocial,Recomendação da Equipe de Psicologia,Indicador de Aprendizagem,Nota Média de Matemática,Nota Média de Português,Nota Média de Inglês,Indicado para Bolsa,Atingiu Ponto de Virada,Indicador de Ponto de Virada,Indicador de Adequação ao Nível,Fase ideal,Nível de Defasagem,Observações sobre Indicador de Engajamento,Observações sobre Indicador de Aprendizagem,Observações sobre Indicador de Ponto de Virada,Fase_ideal_num,gap_fase,pv_bool,cluster5
RA-727,0,H,Aluno-727,2014,8,Menino,2022,Escola Pública,,,Ametista,7.736,225,61,3,2,Avaliador-11,Promovido de Fase,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,9.0,7.7,8.1,Não atendido,8.4,9.3,7.4,,Não,Não,6.75,10.0,ALFA  (2º e 3º ano),0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2.0,2.0,False,2
RA-728,0,H,Aluno-728,2014,8,Menina,2022,Escola Pública,,,Topázio,8.244,74,20,1,2,Avaliador-11,Promovido de Fase,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,9.5,7.3,8.1,Não atendido,9.1,9.3,8.9,,Não,Não,8.167,10.0,ALFA  (2º e 3º ano),0,Melhorar: Melhorar a sua entrega de lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2.0,2.0,False,2
RA-729,0,H,Aluno-729,2014,8,Menina,2022,Escola Pública,,,Topázio,8.155,96,26,2,2,Avaliador-11,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,10.0,8.7,8.1,Não atendido,8.1,8.5,7.8,,Não,Não,7.25,10.0,ALFA  (2º e 3º ano),0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2.0,2.0,False,2
RA-738,0,J,Aluno-738,2014,8,Menina,2022,Escola Pública,,,Ametista,7.227,417,124,6,2,Avaliador-13,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,8.5,8.1,5.6,Sem limitações,5.7,7.7,3.7,,Não,Não,7.5,10.0,ALFA  (2º e 3º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2.0,2.0,False,2
RA-739,0,J,Aluno-739,2014,8,Menino,2022,Escola Pública,,,Ágata,6.82,549,156,11,2,Avaliador-13,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,6.4,7.3,5.6,Sem limitações,5.9,6.0,5.8,,Não,Não,7.083,10.0,ALFA  (2º e 3º ano),0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2.0,2.0,False,2
RA-744,0,J,Aluno-744,2014,8,Menina,2022,Escola Pública,,,Ametista,7.742,220,58,2,2,Avaliador-13,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,9.5,9.7,5.6,Sem limitações,6.2,6.0,6.3,,Não,Não,7.5,10.0,ALFA  (2º e 3º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2.0,2.0,False,2
RA-746,0,J,Aluno-746,2014,8,Menino,2022,Escola Pública,,,Ametista,7.656,253,70,3,2,Avaliador-13,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,8.0,9.1,5.6,Sem limitações,7.2,7.7,6.7,,Não,Não,7.417,10.0,ALFA  (2º e 3º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2.0,2.0,False,2
RA-753,0,K,Aluno-753,2014,8,Menina,2022,Escola Pública,,,Topázio,8.481,37,8,2,2,Avaliador-11,Promovido de Fase + Bolsa,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,9.5,8.6,7.5,Não atendido,9.1,9.4,8.8,,Sim,Sim,8.417,10.0,ALFA  (2º e 3º ano),0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2.0,2.0,True,2
RA-755,0,K,Aluno-755,2014,8,Menino,2022,Escola Pública,,,Topázio,8.566,29,4,1,2,Avaliador-11,Promovido de Fase + Bolsa,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,9.5,9.2,6.9,Não atendido,9.5,9.8,9.3,,Sim,Não,8.083,10.0,ALFA  (2º e 3º ano),0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2.0,2.0,False,2
RA-764,0,L,Aluno-764,2014,8,Menino,2022,Escola Pública,,,Ametista,8.004,141,38,4,2,Avaliador-13,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,9.0,8.8,7.5,Não atendido,7.5,7.2,7.8,,Não,Não,7.667,10.0,ALFA  (2º e 3º ano),0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2.0,2.0,False,2
RA-770,0,M,Aluno-770,2015,7,Menino,2022,Escola Pública,,,Topázio,8.143,101,28,1,2,Avaliador-11,Promovido de Fase,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,9.5,8.9,7.5,Não avaliado,8.3,8.5,8.1,,Não,Não,7.333,10.0,ALFA  (2º e 3º ano),0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2.0,2.0,False,2
RA-771,0,M,Aluno-771,2015,7,Menina,2022,Escola Pública,,,Ametista,7.873,179,49,2,2,Avaliador-11,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,10.0,8.3,7.5,Não avaliado,7.0,7.2,6.9,,Não,Não,7.5,10.0,ALFA  (2º e 3º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2.0,2.0,False,2
RA-774,0,M,Aluno-774,2014,8,Menina,2022,Escola Pública,,,Ametista,7.587,280,78,4,2,Avaliador-11,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,10.0,7.8,7.5,Não avaliado,6.1,7.8,4.4,,Não,Não,7.417,10.0,ALFA  (2º e 3º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2.0,2.0,False,2
RA-777,0,N,Aluno-777,2014,8,Menino,2022,Escola Pública,,,Ametista,7.096,457,133,4,2,Avaliador-13,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,8.0,7.7,7.5,Não atendido,5.3,6.5,4.0,,Não,Não,7.0,10.0,ALFA  (2º e 3º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2.0,2.0,False,2
RA-782,0,N,Aluno-782,2014,8,Menino,2022,Escola Pública,,,Ametista,7.485,317,93,2,2,Avaliador-13,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,9.5,8.4,7.5,Não atendido,6.0,5.7,6.3,,Não,Não,7.0,10.0,ALFA  (2º e 3º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2.0,2.0,False,2
RA-783,0,N,Aluno-783,2014,8,Menino,2021,Escola Pública,,Ametista,Ágata,6.996,487,138,5,2,Avaliador-13,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,9.5,5.8,7.5,Não atendido,6.0,4.7,7.3,,Não,Não,6.917,10.0,ALFA  (2º e 3º ano),0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2.0,2.0,False,2
RA-787,0,O,Aluno-787,2014,8,Menino,2022,Escola Pública,,,Ametista,7.205,426,127,9,2,Avaliador-13,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,8.5,9.5,7.5,Não atendido,3.4,4.2,2.7,,Não,Não,7.25,10.0,ALFA  (2º e 3º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2.0,2.0,False,2
RA-788,0,O,Aluno-788,2014,8,Menino,2021,Rede Decisão,,Topázio,Topázio,8.264,68,17,2,2,Avaliador-13,Promovido de Fase,Avaliador-3,Promovido de Fase,,Não avaliado,,,10.0,9.3,5.6,Requer avaliação,8.0,7.8,8.2,,Não,Sim,8.667,10.0,ALFA  (2º e 3º ano),0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2.0,2.0,True,2
RA-789,0,O,Aluno-789,2015,7,Menina,2022,Escola Pública,,,Ametista,7.405,359,108,7,2,Avaliador-13,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,9.0,9.4,7.5,Não atendido,4.2,3.7,4.7,,Não,Não,7.417,10.0,ALFA  (2º e 3º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2.0,2.0,False,2
RA-794,0,O,Aluno-794,2014,8,Menina,2022,Escola Pública,,,Ametista,7.335,381,114,8,2,Avaliador-13,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,9.5,8.9,7.5,Não atendido,4.1,3.7,4.5,,Não,Não,7.333,10.0,ALFA  (2º e 3º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2.0,2.0,False,2
RA-795,0,O,Aluno-795,2014,8,Menina,2022,Escola Pública,,,Topázio,8.064,126,35,3,2,Avaliador-13,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,9.0,9.7,7.5,Não atendido,7.3,8.0,6.5,,Não,Não,7.333,10.0,ALFA  (2º e 3º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2.0,2.0,False,2
RA-800,0,Q,Aluno-800,2014,8,Menino,2022,Escola Pública,,,Ágata,6.818,551,157,8,2,Avaliador-13,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,8.0,5.4,7.5,Não atendido,6.1,6.3,5.8,,Não,Não,7.5,10.0,ALFA  (2º e 3º ano),0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2.0,2.0,False,2
RA-805,0,R,Aluno-805,2014,8,Menino,2021,Escola Pública,,Ametista,Topázio,8.279,65,16,2,2,Avaliador-11,Promovido de Fase,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,9.5,9.0,7.5,Sem limitações,8.8,8.7,8.9,,Não,Não,7.333,10.0,ALFA  (2º e 3º ano),0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2.0,2.0,False,2
RA-806,0,R,Aluno-806,2014,8,Menino,2022,Escola Pública,,,Ametista,7.561,290,82,5,2,Avaliador-11,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,9.5,7.3,7.5,Sem limitações,6.6,5.0,8.2,,Não,Não,7.917,10.0,ALFA  (2º e 3º ano),0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2.0,2.0,False,2
RA-807,0,R,Aluno-807,2014,8,Menino,2022,Escola Pública,,,Topázio,8.121,109,31,3,2,Avaliador-11,Promovido de Fase,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,9.5,8.7,6.3,Sem limitações,9.0,9.5,8.6,,Não,Não,7.5,10.0,ALFA  (2º e 3º ano),0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2.0,2.0,False,2
RA-808,0,R,Aluno-808,2014,8,Menino,2022,Escola Pública,,,Topázio,8.361,51,12,1,2,Avaliador-11,Promovido de Fase,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,10.0,9.1,6.3,Sem limitações,9.3,9.7,8.8,,Não,Não,8.0,10.0,ALFA  (2º e 3º ano),0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2.0,2.0,False,2
RA-809,0,R,Aluno-809,2015,7,Menino,2022,Escola Pública,,,Ametista,7.259,410,120,7,2,Avaliador-11,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,10.0,6.6,6.3,Sem limitações,6.3,5.5,7.1,,Não,Não,7.417,10.0,ALFA  (2º e 3º ano),0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2.0,2.0,False,2
RA-810,0,R,Aluno-810,2014,8,Menino,2021,Escola Pública,,Ametista,Ametista,7.887,175,47,4,2,Avaliador-11,Promovido de Fase,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,8.5,9.1,5.0,Não indicado,9.6,9.7,9.5,,Não,Não,7.25,10.0,ALFA  (2º e 3º ano),0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2.0,2.0,False,2
RA-812,0,R,Aluno-812,2014,8,Menino,2022,Escola Pública,,,Ametista,7.497,313,90,6,2,Avaliador-11,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,9.0,8.1,5.6,Sem limitações,7.4,8.3,6.6,,Não,Não,7.333,10.0,ALFA  (2º e 3º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2.0,2.0,False,2
RA-813,0,S,Aluno-813,2014,8,Menino,2022,Escola Pública,,,Ametista,7.093,459,134,6,2,Avaliador-13,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,9.5,6.5,6.9,Sem limitações,6.0,6.7,5.3,,Não,Não,7.417,10.0,ALFA  (2º e 3º ano),0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2.0,2.0,False,2
RA-817,0,S,Aluno-817,2014,8,Menina,2022,Escola Pública,,,Ametista,7.819,197,52,2,2,Avaliador-13,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,10.0,8.7,6.3,Requer avaliação,7.1,7.7,6.5,,Não,Não,7.417,10.0,ALFA  (2º e 3º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2.0,2.0,False,2
RA-818,0,S,Aluno-818,2015,7,Menino,2022,Escola Pública,,,Ametista,7.483,320,95,5,2,Avaliador-13,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,9.5,7.3,7.5,Sem limitações,6.2,6.5,5.8,,Não,Não,7.5,10.0,ALFA  (2º e 3º ano),0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2.0,2.0,False,2
RA-819,0,S,Aluno-819,2014,8,Menino,2022,Escola Pública,,,Ametista,7.741,223,59,3,2,Avaliador-13,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,10.0,7.9,7.5,Sem limitações,7.3,8.0,6.5,,Não,Não,7.333,10.0,ALFA  (2º e 3º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2.0,2.0,False,2
